R rho Te mu radheat radcool PdV advheat advcool
1.12651e+00 6.41229e-15 4.67299e+03 2.37069e+00 2.55165e-07 2.25287e-07 2.09663e-08 0.00000e+00 4.45306e-09
1.12745e+00 6.36256e-15 4.67466e+03 2.36894e+00 2.53776e-07 2.24000e-07 2.09194e-08 0.00000e+00 4.44351e-09
1.12839e+00 6.31382e-15 4.67633e+03 2.36721e+00 2.52395e-07 2.22738e-07 2.08726e-08 0.00000e+00 4.43395e-09
1.12932e+00 6.26504e-15 4.67800e+03 2.36548e+00 2.51014e-07 2.21474e-07 2.08258e-08 0.00000e+00 4.42439e-09
1.13026e+00 6.21737e-15 4.67969e+03 2.36375e+00 2.49676e-07 2.20251e-07 2.07792e-08 0.00000e+00 4.41483e-09
1.13120e+00 6.17135e-15 4.68140e+03 2.36203e+00 2.48404e-07 2.19091e-07 2.07327e-08 0.00000e+00 4.40527e-09
1.13215e+00 6.12530e-15 4.68310e+03 2.36031e+00 2.47131e-07 2.17929e-07 2.06862e-08 0.00000e+00 4.39572e-09
1.13309e+00 6.07960e-15 4.68479e+03 2.35860e+00 2.45864e-07 2.16770e-07 2.06399e-08 0.00000e+00 4.38616e-09
1.13403e+00 6.03565e-15 4.68634e+03 2.35690e+00 2.44629e-07 2.15625e-07 2.05936e-08 0.00000e+00 4.37662e-09
1.13497e+00 5.99166e-15 4.68790e+03 2.35519e+00 2.43393e-07 2.14480e-07 2.05474e-08 0.00000e+00 4.36708e-09
1.13592e+00 5.94764e-15 4.68946e+03 2.35349e+00 2.42155e-07 2.13333e-07 2.05013e-08 0.00000e+00 4.35757e-09
1.13686e+00 5.90324e-15 4.69104e+03 2.35172e+00 2.40875e-07 2.12136e-07 2.04553e-08 0.00000e+00 4.34807e-09
1.13781e+00 5.85879e-15 4.69264e+03 2.34995e+00 2.39593e-07 2.10936e-07 2.04093e-08 0.00000e+00 4.33858e-09
1.13876e+00 5.81431e-15 4.69423e+03 2.34818e+00 2.38309e-07 2.09735e-07 2.03635e-08 0.00000e+00 4.32912e-09
1.13970e+00 5.77103e-15 4.69575e+03 2.34643e+00 2.37056e-07 2.08541e-07 2.03177e-08 0.00000e+00 4.31968e-09
1.14065e+00 5.72797e-15 4.69726e+03 2.34467e+00 2.35809e-07 2.07348e-07 2.02720e-08 0.00000e+00 4.31026e-09
1.14160e+00 5.68488e-15 4.69876e+03 2.34291e+00 2.34560e-07 2.06154e-07 2.02265e-08 0.00000e+00 4.30085e-09
1.14255e+00 5.64157e-15 4.70029e+03 2.34114e+00 2.33261e-07 2.04925e-07 2.01810e-08 0.00000e+00 4.29147e-09
1.14350e+00 5.59806e-15 4.70183e+03 2.33936e+00 2.31912e-07 2.03664e-07 2.01355e-08 0.00000e+00 4.28211e-09
1.14445e+00 5.55452e-15 4.70338e+03 2.33758e+00 2.30562e-07 2.02402e-07 2.00902e-08 0.00000e+00 4.27278e-09
1.14541e+00 5.51111e-15 4.70493e+03 2.33580e+00 2.29218e-07 2.01145e-07 2.00450e-08 0.00000e+00 4.26346e-09
1.14636e+00 5.46966e-15 4.70654e+03 2.33404e+00 2.27941e-07 1.99954e-07 1.99998e-08 0.00000e+00 4.25416e-09
1.14731e+00 5.42818e-15 4.70814e+03 2.33228e+00 2.26663e-07 1.98762e-07 1.99547e-08 0.00000e+00 4.24487e-09
1.14827e+00 5.38667e-15 4.70975e+03 2.33052e+00 2.25385e-07 1.97570e-07 1.99098e-08 0.00000e+00 4.23561e-09
1.14922e+00 5.34692e-15 4.71131e+03 2.32878e+00 2.24163e-07 1.96439e-07 1.98649e-08 0.00000e+00 4.22637e-09
1.15018e+00 5.30834e-15 4.71283e+03 2.32705e+00 2.22979e-07 1.95349e-07 1.98200e-08 0.00000e+00 4.21714e-09
1.15114e+00 5.26972e-15 4.71436e+03 2.32531e+00 2.21795e-07 1.94258e-07 1.97753e-08 0.00000e+00 4.20792e-09
1.15209e+00 5.23129e-15 4.71587e+03 2.32358e+00 2.20610e-07 1.93164e-07 1.97307e-08 0.00000e+00 4.19872e-09
1.15305e+00 5.19376e-15 4.71731e+03 2.32185e+00 2.19427e-07 1.92056e-07 1.96861e-08 0.00000e+00 4.18953e-09
1.15401e+00 5.15620e-15 4.71876e+03 2.32012e+00 2.18243e-07 1.90947e-07 1.96416e-08 0.00000e+00 4.18035e-09
1.15497e+00 5.11860e-15 4.72020e+03 2.31839e+00 2.17058e-07 1.89837e-07 1.95972e-08 0.00000e+00 4.17118e-09
1.15593e+00 5.08121e-15 4.72165e+03 2.31664e+00 2.15860e-07 1.88713e-07 1.95529e-08 0.00000e+00 4.16202e-09
1.15689e+00 5.04388e-15 4.72310e+03 2.31487e+00 2.14656e-07 1.87583e-07 1.95087e-08 0.00000e+00 4.15287e-09
1.15786e+00 5.00652e-15 4.72455e+03 2.31311e+00 2.13451e-07 1.86453e-07 1.94646e-08 0.00000e+00 4.14372e-09
1.15882e+00 4.96911e-15 4.72600e+03 2.31133e+00 2.12237e-07 1.85311e-07 1.94205e-08 0.00000e+00 4.13459e-09
1.15978e+00 4.93160e-15 4.72744e+03 2.30955e+00 2.10986e-07 1.84129e-07 1.93766e-08 0.00000e+00 4.12545e-09
1.16075e+00 4.89405e-15 4.72888e+03 2.30777e+00 2.09735e-07 1.82945e-07 1.93327e-08 0.00000e+00 4.11630e-09
1.16171e+00 4.85648e-15 4.73032e+03 2.30598e+00 2.08483e-07 1.81761e-07 1.92889e-08 0.00000e+00 4.10716e-09
1.16268e+00 4.81980e-15 4.73178e+03 2.30421e+00 2.07253e-07 1.80603e-07 1.92451e-08 0.00000e+00 4.09801e-09
1.16365e+00 4.78392e-15 4.73325e+03 2.30246e+00 2.06044e-07 1.79470e-07 1.92015e-08 0.00000e+00 4.08887e-09
1.16462e+00 4.74802e-15 4.73473e+03 2.30071e+00 2.04833e-07 1.78337e-07 1.91580e-08 0.00000e+00 4.07973e-09
1.16559e+00 4.71208e-15 4.73621e+03 2.29895e+00 2.03622e-07 1.77202e-07 1.91145e-08 0.00000e+00 4.07059e-09
1.16656e+00 4.67841e-15 4.73762e+03 2.29723e+00 2.02492e-07 1.76151e-07 1.90711e-08 0.00000e+00 4.06145e-09
1.16753e+00 4.64555e-15 4.73902e+03 2.29552e+00 2.01391e-07 1.75130e-07 1.90278e-08 0.00000e+00 4.05228e-09
1.16850e+00 4.61265e-15 4.74042e+03 2.29380e+00 2.00288e-07 1.74109e-07 1.89846e-08 0.00000e+00 4.04310e-09
1.16947e+00 4.57973e-15 4.74182e+03 2.29209e+00 1.99185e-07 1.73086e-07 1.89414e-08 0.00000e+00 4.03391e-09
1.17044e+00 4.54709e-15 4.74319e+03 2.29035e+00 1.98065e-07 1.72036e-07 1.88984e-08 0.00000e+00 4.02471e-09
1.17142e+00 4.51442e-15 4.74457e+03 2.28861e+00 1.96944e-07 1.70985e-07 1.88554e-08 0.00000e+00 4.01551e-09
1.17239e+00 4.48172e-15 4.74594e+03 2.28687e+00 1.95822e-07 1.69933e-07 1.88125e-08 0.00000e+00 4.00632e-09
1.17337e+00 4.44916e-15 4.74731e+03 2.28512e+00 1.94696e-07 1.68877e-07 1.87697e-08 0.00000e+00 3.99710e-09
